y,x,frame,t,particle,track_completeness,vial,geno,sex,day,rep
75.92,82.91,0,0.0,11,1.0,1,w1118,m,2,1
60.12,93.92,0,0.0,9,1.0,1,w1118,m,2,1
43.57,121.97,0,0.0,1,1.0,1,w1118,m,2,1
38.3,79.0,0,0.0,3,0.35172413793103446,1,w1118,m,2,1
37.98,107.66,0,0.0,2,1.0,1,w1118,m,2,1
36.08,129.86,0,0.0,13,0.1793103448275862,1,w1118,m,2,1
28.88,121.43,0,0.0,24,0.07586206896551724,1,w1118,m,2,1
78.23,83.271,1,0.034,11,1.0,1,w1118,m,2,1
62.28,94.511,1,0.034,9,1.0,1,w1118,m,2,1
40.27,79.301,1,0.034,3,0.35172413793103446,1,w1118,m,2,1
39.44,121.661,1,0.034,1,1.0,1,w1118,m,2,1
36.34,106.081,1,0.034,2,1.0,1,w1118,m,2,1
35.28,131.39100000000002,1,0.034,13,0.1793103448275862,1,w1118,m,2,1
27.27,106.391,1,0.034,29,0.41379310344827586,1,w1118,m,2,1
80.33,83.32877777777779,2,0.069,11,1.0,1,w1118,m,2,1
68.24,94.9787777777778,2,0.069,9,1.0,1,w1118,m,2,1
46.17,122.52877777777779,2,0.069,1,1.0,1,w1118,m,2,1
42.55,78.60877777777779,2,0.069,3,0.35172413793103446,1,w1118,m,2,1
36.54,106.5387777777778,2,0.069,2,1.0,1,w1118,m,2,1
34.53,133.39877777777778,2,0.069,13,0.1793103448275862,1,w1118,m,2,1
29.13,94.57877777777779,2,0.069,40,0.06896551724137931,1,w1118,m,2,1
27.47,123.23877777777778,2,0.069,24,0.07586206896551724,1,w1118,m,2,1
81.35,84.0633015873016,3,0.103,11,1.0,1,w1118,m,2,1
67.21,96.0333015873016,3,0.103,9,1.0,1,w1118,m,2,1
47.0,123.3933015873016,3,0.103,1,1.0,1,w1118,m,2,1
42.64,79.3933015873016,3,0.103,3,0.35172413793103446,1,w1118,m,2,1
35.58,107.02330158730159,3,0.103,2,1.0,1,w1118,m,2,1
33.35,134.9433015873016,3,0.103,13,0.1793103448275862,1,w1118,m,2,1
27.32,93.97330158730159,3,0.103,40,0.06896551724137931,1,w1118,m,2,1
25.61,125.2933015873016,3,0.103,24,0.07586206896551724,1,w1118,m,2,1
81.36,84.2115873015873,4,0.138,11,1.0,1,w1118,m,2,1
68.96,96.2615873015873,4,0.138,9,1.0,1,w1118,m,2,1
48.03,79.0815873015873,4,0.138,3,0.35172413793103446,1,w1118,m,2,1
43.46,122.6115873015873,4,0.138,1,1.0,1,w1118,m,2,1
35.44,107.0215873015873,4,0.138,2,1.0,1,w1118,m,2,1
26.23,89.81158730158731,4,0.138,40,0.06896551724137931,1,w1118,m,2,1
24.8,127.28158730158731,4,0.138,24,0.07586206896551724,1,w1118,m,2,1
85.6,83.70131703131705,5,0.172,11,1.0,1,w1118,m,2,1
70.43,96.12131703131705,5,0.172,9,1.0,1,w1118,m,2,1
46.67,78.40131703131705,5,0.172,3,0.35172413793103446,1,w1118,m,2,1
43.87,121.97131703131704,5,0.172,1,1.0,1,w1118,m,2,1
34.82,107.07131703131705,5,0.172,2,1.0,1,w1118,m,2,1
25.72,103.38131703131705,5,0.172,29,0.41379310344827586,1,w1118,m,2,1
25.55,85.93131703131705,5,0.172,40,0.06896551724137931,1,w1118,m,2,1
24.05,128.05131703131704,5,0.172,24,0.07586206896551724,1,w1118,m,2,1
89.0,83.82058975858976,6,0.207,11,1.0,1,w1118,m,2,1
70.14,96.12058975858976,6,0.207,9,1.0,1,w1118,m,2,1
49.17,79.47058975858977,6,0.207,3,0.35172413793103446,1,w1118,m,2,1
47.18,122.25058975858977,6,0.207,1,1.0,1,w1118,m,2,1
40.02,107.73058975858976,6,0.207,2,1.0,1,w1118,m,2,1
25.13,104.11058975858977,6,0.207,29,0.41379310344827586,1,w1118,m,2,1
23.55,129.06058975858974,6,0.207,24,0.07586206896551724,1,w1118,m,2,1
90.17,83.91834486063058,7,0.241,11,1.0,1,w1118,m,2,1
70.27,96.35834486063058,7,0.241,9,1.0,1,w1118,m,2,1
46.38,122.02834486063058,7,0.241,1,1.0,1,w1118,m,2,1
36.43,107.55834486063058,7,0.241,2,1.0,1,w1118,m,2,1
22.91,78.22834486063059,7,0.241,40,0.06896551724137931,1,w1118,m,2,1
22.42,129.85834486063058,7,0.241,24,0.07586206896551724,1,w1118,m,2,1
89.86,83.17334486063058,8,0.276,11,1.0,1,w1118,m,2,1
70.88,96.17334486063058,8,0.276,9,1.0,1,w1118,m,2,1
54.69,81.02334486063057,8,0.276,3,0.35172413793103446,1,w1118,m,2,1
47.9,121.84334486063058,8,0.276,1,1.0,1,w1118,m,2,1
36.83,107.74334486063057,8,0.276,2,1.0,1,w1118,m,2,1
33.72,64.89334486063058,8,0.276,16,1.0,1,w1118,m,2,1
22.74,106.87334486063058,8,0.276,29,0.41379310344827586,1,w1118,m,2,1
22.05,77.01334486063058,8,0.276,40,0.06896551724137931,1,w1118,m,2,1
21.83,130.48334486063058,8,0.276,24,0.07586206896551724,1,w1118,m,2,1
91.35,83.39199870678442,9,0.31,11,1.0,1,w1118,m,2,1
72.29,96.47199870678442,9,0.31,9,1.0,1,w1118,m,2,1
57.14,82.26199870678442,9,0.31,3,0.35172413793103446,1,w1118,m,2,1
49.26,121.66199870678443,9,0.31,1,1.0,1,w1118,m,2,1
41.24,108.11199870678442,9,0.31,2,1.0,1,w1118,m,2,1
33.23,65.07199870678443,9,0.31,16,1.0,1,w1118,m,2,1
22.36,107.05199870678443,9,0.31,29,0.41379310344827586,1,w1118,m,2,1
20.93,70.81199870678442,9,0.31,40,0.06896551724137931,1,w1118,m,2,1
92.64,83.5804732830556,10,0.345,11,1.0,1,w1118,m,2,1
75.19,97.5804732830556,10,0.345,9,1.0,1,w1118,m,2,1
59.26,82.5904732830556,10,0.345,3,0.35172413793103446,1,w1118,m,2,1
49.72,121.9404732830556,10,0.345,1,1.0,1,w1118,m,2,1
40.02,108.5404732830556,10,0.345,2,1.0,1,w1118,m,2,1
32.75,65.3604732830556,10,0.345,16,1.0,1,w1118,m,2,1
22.55,104.6204732830556,10,0.345,29,0.41379310344827586,1,w1118,m,2,1
19.93,69.8404732830556,10,0.345,23,0.22758620689655173,1,w1118,m,2,1
62.7,83.67761614019847,11,0.379,3,0.35172413793103446,1,w1118,m,2,1
50.14,121.51761614019847,11,0.379,1,1.0,1,w1118,m,2,1
41.21,108.35761614019846,11,0.379,2,1.0,1,w1118,m,2,1
32.33,65.37761614019847,11,0.379,16,1.0,1,w1118,m,2,1
18.57,67.65761614019846,11,0.379,23,0.22758620689655173,1,w1118,m,2,1
98.64,82.75890646277912,12,0.414,11,1.0,1,w1118,m,2,1
60.84,84.71890646277912,12,0.414,3,0.35172413793103446,1,w1118,m,2,1
53.62,122.48890646277911,12,0.414,1,1.0,1,w1118,m,2,1
31.87,65.25890646277911,12,0.414,16,1.0,1,w1118,m,2,1
19.65,103.35890646277912,12,0.414,29,0.41379310344827586,1,w1118,m,2,1
100.13,83.35112868500133,13,0.448,11,1.0,1,w1118,m,2,1
62.2,84.83112868500133,13,0.448,3,0.35172413793103446,1,w1118,m,2,1
54.08,122.55112868500133,13,0.448,1,1.0,1,w1118,m,2,1
46.22,108.58112868500133,13,0.448,2,1.0,1,w1118,m,2,1
31.24,64.90112868500134,13,0.448,16,1.0,1,w1118,m,2,1
18.99,103.20112868500134,13,0.448,29,0.41379310344827586,1,w1118,m,2,1
101.83,82.82289339088368,14,0.483,11,1.0,1,w1118,m,2,1
65.08,85.69289339088368,14,0.483,3,0.35172413793103446,1,w1118,m,2,1
55.63,122.52289339088368,14,0.483,1,1.0,1,w1118,m,2,1
48.88,108.49289339088368,14,0.483,2,1.0,1,w1118,m,2,1
30.83,65.28289339088369,14,0.483,16,1.0,1,w1118,m,2,1
20.86,136.76289339088368,14,0.483,13,0.1793103448275862,1,w1118,m,2,1
18.06,101.28289339088369,14,0.483,29,0.41379310344827586,1,w1118,m,2,1
103.21,81.89250877549907,15,0.517,11,1.0,1,w1118,m,2,1
66.43,86.61250877549907,15,0.517,3,0.35172413793103446,1,w1118,m,2,1
55.19,121.79250877549907,15,0.517,1,1.0,1,w1118,m,2,1
50.48,107.77250877549908,15,0.517,2,1.0,1,w1118,m,2,1
30.67,64.72250877549908,15,0.517,16,1.0,1,w1118,m,2,1
20.35,136.86250877549907,15,0.517,13,0.1793103448275862,1,w1118,m,2,1
17.57,101.13250877549908,15,0.517,29,0.41379310344827586,1,w1118,m,2,1
104.69,81.83618224488683,16,0.552,11,1.0,1,w1118,m,2,1
67.7,87.55618224488683,16,0.552,3,0.35172413793103446,1,w1118,m,2,1
56.4,121.72618224488683,16,0.552,1,1.0,1,w1118,m,2,1
53.71,107.63618224488683,16,0.552,2,1.0,1,w1118,m,2,1
35.02,63.89618224488683,16,0.552,16,1.0,1,w1118,m,2,1
19.62,136.80618224488686,16,0.552,13,0.1793103448275862,1,w1118,m,2,1
16.84,101.06618224488683,16,0.552,29,0.41379310344827586,1,w1118,m,2,1
105.94,81.88363679034137,17,0.586,11,1.0,1,w1118,m,2,1
69.12,87.51363679034137,17,0.586,3,0.35172413793103446,1,w1118,m,2,1
