y,x,frame,t,particle,track_completeness,vial,climbing,1
193.93,237.82,0,0.0,0,1.0,1,climbing,
143.54,168.01,0,0.0,9,0.4827586206896552,1,climbing,
133.3,251.15,0,0.0,29,1.0,1,climbing,
124.42,231.08,0,0.0,34,0.22758620689655173,1,climbing,
123.26,211.02,0,0.0,61,0.993103448275862,1,climbing,
193.77,236.90603174603174,1,0.04,0,1.0,1,climbing,
144.03,173.29603174603173,1,0.04,9,0.4827586206896552,1,climbing,
132.12,250.62603174603174,1,0.04,29,1.0,1,climbing,
124.9,234.22603174603174,1,0.04,34,0.22758620689655173,1,climbing,
123.4,211.37603174603174,1,0.04,61,0.993103448275862,1,climbing,
200.05,235.44603174603176,2,0.08,0,1.0,1,climbing,
143.62,173.08603174603175,2,0.08,9,0.4827586206896552,1,climbing,
124.84,233.97603174603174,2,0.08,34,0.22758620689655173,1,climbing,
123.21,212.04603174603176,2,0.08,61,0.993103448275862,1,climbing,
203.75,236.54070916538657,3,0.12,0,1.0,1,climbing,
143.27,173.59070916538658,3,0.12,9,0.4827586206896552,1,climbing,
129.75,255.57070916538657,3,0.12,29,1.0,1,climbing,
124.85,232.6507091653866,3,0.12,34,0.22758620689655173,1,climbing,
122.14,212.51070916538657,3,0.12,61,0.993103448275862,1,climbing,
206.86,235.98825014899313,4,0.16,0,1.0,1,climbing,
141.6,167.15825014899315,4,0.16,9,0.4827586206896552,1,climbing,
127.92,257.45825014899316,4,0.16,29,1.0,1,climbing,
123.17,235.95825014899313,4,0.16,34,0.22758620689655173,1,climbing,
121.24,215.24825014899315,4,0.16,61,0.993103448275862,1,climbing,
206.51,235.79563476437775,5,0.2,0,1.0,1,climbing,
141.57,173.02563476437774,5,0.2,9,0.4827586206896552,1,climbing,
127.06,257.20563476437775,5,0.2,29,1.0,1,climbing,
121.74,236.99563476437774,5,0.2,34,0.22758620689655173,1,climbing,
119.24,217.82563476437775,5,0.2,61,0.993103448275862,1,climbing,
211.49,236.25938476437776,6,0.24,0,1.0,1,climbing,
140.76,173.11938476437774,6,0.24,9,0.4827586206896552,1,climbing,
121.22,237.05938476437774,6,0.24,34,0.22758620689655173,1,climbing,
118.18,219.08938476437774,6,0.24,61,0.993103448275862,1,climbing,
212.17,236.50799587548886,7,0.28,0,1.0,1,climbing,
139.94,167.19799587548886,7,0.28,9,0.4827586206896552,1,climbing,
124.99,255.27799587548887,7,0.28,29,1.0,1,climbing,
120.92,237.34799587548886,7,0.28,34,0.22758620689655173,1,climbing,
117.8,221.41799587548886,7,0.28,61,0.993103448275862,1,climbing,
217.11,238.30946254215553,8,0.32,0,1.0,1,climbing,
139.08,167.15946254215552,8,0.32,9,0.4827586206896552,1,climbing,
123.8,252.3894625421555,8,0.32,29,1.0,1,climbing,
120.38,237.44946254215552,8,0.32,34,0.22758620689655173,1,climbing,
117.28,222.36946254215553,8,0.32,61,0.993103448275862,1,climbing,
218.65,238.2027502133884,9,0.36,0,1.0,1,climbing,
138.42,167.2727502133884,9,0.36,9,0.4827586206896552,1,climbing,
122.59,249.5827502133884,9,0.36,29,1.0,1,climbing,
119.84,237.6427502133884,9,0.36,34,0.22758620689655173,1,climbing,
117.8,223.4927502133884,9,0.36,61,0.993103448275862,1,climbing,
222.94,237.62599345663165,10,0.4,0,1.0,1,climbing,
137.52,166.93599345663165,10,0.4,9,0.4827586206896552,1,climbing,
