y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,particle,track_completeness,vial
419.33,237.82,679,140660,0.277,57.82,679,0.1,0,0.0,True,0,1.0,1.0
482.81,403.74,197,140660,0.576,16.64,197,0.1,0,0.0,False,1,0.9448275862068966,0.0
428.23,561.14,847,140660,0.333,69.55,847,0.1,0,0.0,True,2,0.993103448275862,3.0
431.82,1154.08,696,140660,0.267,49.1,696,0.0,0,0.0,True,3,0.47586206896551725,6.0
435.15,1077.6,670,140660,0.256,51.55,670,0.1,0,0.0,True,4,1.0,6.0
448.31,1075.59,572,140660,0.346,52.1,572,0.1,0,0.0,True,5,0.8827586206896552,6.0
454.32,1068.3,548,140660,0.201,42.55,548,0.1,0,0.0,True,6,1.0,6.0
468.19,544.43,559,140660,0.363,43.91,559,0.1,0,0.0,True,7,0.5241379310344828,3.0
467.85,759.14,755,140660,0.392,54.01,755,0.1,0,0.0,True,8,0.7034482758620689,4.0
469.72,168.01,408,140660,0.056,33.55,408,0.3,0,0.0,True,9,0.4827586206896552,1.0
471.95,1087.7,692,140660,0.286,52.1,692,0.1,0,0.0,True,10,0.4413793103448276,6.0
472.08,1096.19,699,140660,0.438,52.64,699,0.1,0,0.0,True,11,0.9793103448275862,6.0
474.26,403.72,665,140660,0.321,51.01,665,0.1,0,0.0,True,12,1.0,2.0
474.06,1129.39,750,140660,0.359,61.1,750,0.1,0,0.0,True,13,0.8482758620689655,6.0
475.19,581.83,567,140660,0.48,49.37,567,0.1,0,0.0,True,14,0.9793103448275862,3.0
476.01,391.81,443,140660,0.244,49.37,443,0.1,0,0.0,True,15,0.993103448275862,2.0
481.93,1134.93,588,140660,0.259,40.37,588,0.1,0,0.0,True,16,0.993103448275862,6.0
470.22,609.84,710,140660,0.33,50.19,710,0.1,0,0.0,True,17,0.2206896551724138,3.0
476.06,1106.98,382,140660,0.459,31.37,382,0.0,0,0.0,True,18,0.11724137931034483,6.0
477.62,602.07,446,140660,0.299,42.55,446,0.1,0,0.0,True,19,0.9862068965517241,3.0
475.93,1151.11,702,140660,0.36,50.46,702,0.0,0,0.0,True,20,1.0,6.0
476.91,746.67,759,140660,0.282,62.46,759,0.0,0,0.0,True,21,0.9310344827586207,4.0
477.07,756.09,623,140660,0.172,60.01,623,0.1,0,0.0,True,22,0.993103448275862,4.0
477.44,1068.2,697,140660,0.391,53.19,697,0.1,0,0.0,True,23,0.9103448275862069,6.0
476.98,1078.65,460,140660,0.439,50.19,460,0.1,0,0.0,True,24,0.027586206896551724,6.0
482.18,957.8,321,140660,0.309,27.82,321,0.1,0,0.0,True,25,0.0896551724137931,5.0
